МАТЕМАТИЧЕСКИЕ И ЕСТЕСТВЕННЫЕ НАУКИ;;
05.00.00;НАУКИ О ЗЕМЛЕ;
05.01.01;Гидрометнаблюдатель;Гидрометнаблюдатель
ИНЖЕНЕРНОЕ ДЕЛО, ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ НАУКИ;;
08.00.00;ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА;
08.01.01;Изготовитель арматурных сеток и каркасов;Арматурщик Сварщик арматурных сеток и каркасов
08.01.02;Монтажник трубопроводов;Монтажник наружных трубопроводов Монтажник технологических трубопроводов
08.01.03;Трубоклад;Трубоклад промышленных железобетонных труб Трубоклад промышленных кирпичных труб
08.01.04;Кровельщик;Кровельщик по рулонным кровлям и по кровлям из штучных материалов Кровельщик по стальным кровлям
08.01.05;Мастер столярно-плотничных и паркетных работ;Столяр строительный Плотник Стекольщик Паркетчик
08.01.06;Мастер сухого строительства;Маляр строительный Облицовщик-плиточник Облицовщик синтетическими материалами Штукатур Столяр строительный Монтажник каркасно-обшивных конструкций
08.01.07;Мастер общестроительных работ;Арматурщик Бетонщик Каменщик Монтажник по монтажу стальных и железобетонных конструкций Печник Стропальщик Электросварщик ручной сварки
08.01.08;Мастер отделочных строительных работ;Маляр строительный Монтажник каркасно-обшивных конструкций Облицовщик-плиточник Облицовщик-мозаичник Облицовщик синтетическими материалами Штукатур
08.01.09;Слесарь по строительно-монтажным работам;Слесарь строительный Слесарь по сборке металлоконструкций Электрослесарь строительный
08.01.10;Мастер жилищно-коммунального хозяйства;Слесарь-сантехник Электрогазосварщик Плотник Электромонтажник по освещению и осветительным сетям
08.01.11;Машинист машин и оборудования в производстве цемента;Машинист (обжигальщик) вращающихся печей Машинист (обжигальщик) шахтных печей Машинист сырьевых мельниц Машинист угольных мельниц Машинист цементных мельниц
08.01.12;Оператор технологического оборудования в производстве стеновых и вяжущих материалов;Оператор пульта управления оборудованием в производстве строительных изделий
08.01.13;Изготовитель железобетонных изделий;Машинист формовочного агрегата Моторист бетоносмесительных установок Формовщик изделий, конструкций и строительных материалов Прессовщик строительных изделий
08.01.14;Монтажник санитарно-технических, вентиляционных систем и оборудования;Монтажник санитарно-технических систем и оборудования Монтажник систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации Электрогазосварщик
08.01.15;Слесарь по изготовлению деталей и узлов технических систем в строительстве;Слесарь по изготовлению узлов и деталей санитарно-технических систем Слесарь по изготовлению деталей и узлов систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации Слесарь по изготовлению узлов и деталей технологических трубопроводов
08.01.16;Электромонтажник по сигнализации, централизации и блокировке;Электромонтажник по сигнализации, централизации и блокировке
08.01.17;Электромонтажник-наладчик;Электромонтажник-наладчик
08.01.18;Электромонтажник электрических сетей и электрооборудования;Электромонтажник по распределительным устройствам и вторичным цепям Электромонтажник по кабельным сетям Электромонтажник по освещению и осветительным сетям
08.01.19;Электромонтажник по силовым сетям и электрооборудованию;Электромонтажник по силовым сетям и электрооборудованию
08.01.20;Электромонтажник по электрическим машинам;Электромонтажник по электрическим машинам
08.01.21;Монтажник электрических подъемников (лифтов);Монтажник электрических подъемников (лифтов)
08.01.22;Мастер путевых машин;Наладчик железнодорожно-строительных машин и механизмов Оператор дефектоскопной тележки Слесарь по ремонту путевых машин и механизмов
08.01.23;Бригадир-путеец;Монтер пути Обходчик пути и искусственных сооружений Сигналист Ремонтник искусственных сооружений
09.00.00;ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА;
09.01.01;Наладчик аппаратного и программного обеспечения;Наладчик технологического оборудования
09.01.02;Наладчик компьютерных сетей;Наладчик технологического оборудования
09.01.03;Мастер по обработке цифровой информации;Оператор электронно-вычислительных и вычислительных машин
11.00.00;ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ;
11.01.01;Монтажник радиоэлектронной аппаратуры и приборов;Контролер радиоэлектронной аппаратуры и приборов Монтажник радиоэлектронной аппаратуры и приборов Регулировщик радиоэлектронной аппаратуры и приборов Слесарь-сборщик радиоэлектронной аппаратуры и приборов Слесарь-механик по радиоэлектронной аппаратуре
11.01.02;Радиомеханик;Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры Радиомонтер приемных телевизионных антенн Радиомеханик по ремонту радиоэлектронного оборудования
11.01.03;Радиооператор;Радиооператор
11.01.04;Монтажник оборудования радио- и телефонной связи;Монтажник оборудования связи Радиомонтер приемных телевизионных антенн
11.01.05;Монтажник связи;Монтажник связи - антенщик Монтажник связи - кабельщик Монтажник связи - линейщик Монтажник связи - спайщик
11.01.06;Электромонтер оборудования электросвязи и проводного вещания;Электромонтер станционного оборудования радиофикации Электромонтер станционного оборудования телеграфной связи Электромонтер станционного оборудования телефонной связи
11.01.07;Электромонтер по ремонту линейно-кабельных сооружений телефонной связи и проводного вещания;Кабельщик-спайщик Электромонтер линейных сооружений телефонной связи и радиофикации
11.01.08;Оператор связи;Оператор связи
11.01.09;Оператор микроэлектронного производства;Оператор вакуумно-напылительных процессов Оператор диффузионных процессов Оператор по наращиванию эпитаксиальных слоев Оператор прецизионной фотолитографии
11.01.10;Оператор оборудования элионных процессов;Оператор плазмохимических процессов Оператор элионных процессов
11.01.11;Наладчик технологического оборудования (электронная техника);Наладчик-монтажник испытательного оборудования Наладчик технологического оборудования
11.01.12;Сборщик изделий электронной техники;Контролер деталей и приборов Оператор микросварки Сборщик изделий электронной техники Сборщик микросхем Сборщик полупроводниковых приборов
11.01.13;Сборщик приборов вакуумной электроники;Монтажник электровакуумных приборов Сборщик-монтажник в производстве цветных кинескопов
12.00.00;ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ;
12.01.01;Наладчик оборудования оптического производства;Наладчик оборудования оптического производства
12.01.02;Оптик-механик;Контролер оптических деталей и приборов Оптик Оптик-механик Оператор вакуумных установок по нанесению покрытий на оптические детали
12.01.03;Сборщик очков;Сборщик очков
12.01.04;Электромеханик по ремонту и обслуживанию наркозно-дыхательной аппаратуры;Электромеханик по ремонту и обслуживанию наркозно-дыхательной аппаратуры
12.01.05;Электромеханик по ремонту и обслуживанию медицинского оборудования;Электромеханик по ремонту и обслуживанию медицинского оборудования
12.01.06;Электромеханик по ремонту и обслуживанию медицинских оптических приборов;Электромеханик по ремонту и обслуживанию медицинских оптических приборов
12.01.07;Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры;Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры
12.01.08;Механик протезно-ортопедических изделий;Механик протезно-ортопедических изделий
13.00.00;ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА;
13.01.01;Машинист котлов;Машинист блочной системы управления агрегатами (котел-турбина) Машинист котлов Машинист-обходчик по котельному оборудованию
13.01.02;Машинист паровых турбин;Машинист газотурбинных установок Машинист-обходчик по турбинному оборудованию Машинист паровых турбин Слесарь по обслуживанию оборудования электростанций
13.01.03;Электрослесарь по ремонту оборудования электростанций;Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций Электрослесарь по ремонту оборудования распределительных устройств Электрослесарь по ремонту электрических машин Электрослесарь по ремонту электрооборудования электростанций Слесарь по ремонту оборудования топливоподачи
13.01.04;Слесарь по ремонту оборудования электростанций;Слесарь по ремонту оборудования тепловых сетей Слесарь по ремонту оборудования котельных и пылеприготовительных цехов Слесарь по ремонту парогазотурбинного оборудования
13.01.05;Электромонтер по техническому обслуживанию электростанций и сетей;Электромонтер оперативно-выездной бригады Электромонтер по обслуживанию подстанций Электромонтер по обслуживанию электрооборудования электростанций Электромонтер по эксплуатации распределительных сетей Электрослесарь по обслуживанию автоматики и средств измерений электростанций
13.01.06;Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети;Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети
13.01.07;Электромонтер по ремонту электросетей;Электромонтер по ремонту аппаратуры релейной защиты и автоматики Электромонтер по ремонту воздушных линий электропередачи Электромонтер по ремонту вторичной коммутации и связи Электромонтер по ремонту и монтажу кабельных линий
13.01.08;Сборщик трансформаторов;Сборщик трансформаторов Сборщик сердечников трансформаторов
13.01.09;Сборщик электрических машин и аппаратов;Испытатель электрических машин, аппаратов и приборов Контролер сборки электрических машин, аппаратов и приборов Обмотчик элементов электрических машин Сборщик электрических машин и аппаратов
13.01.10;Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям);Электромонтер по ремонту и обслуживанию электрооборудования
13.01.11;Электромеханик по испытанию и ремонту электрооборудования летательных аппаратов;Электромеханик по испытанию и ремонту электрооборудования
13.01.12;Сборщик электроизмерительных приборов;Сборщик электроизмерительных приборов
13.01.13;Электромонтажник-схемщик;Электромонтажник-схемщик
13.01.14;Электромеханик по лифтам;Электромеханик по лифтам
15.00.00;МАШИНОСТРОЕНИЕ;
15.01.01;Оператор в производстве металлических изделий;Автоматчик холодновысадочных автоматов Волочильщик проволоки Изготовитель лент и металлосеток Машинист по навивке канатов
15.01.02;Наладчик холодноштамповочного оборудования;Наладчик холодноштамповочного оборудования Оператор автоматических и полуавтоматических линий холодноштамповочного оборудования Штамповщик
15.01.03;Наладчик кузнечно-прессового оборудования;Наладчик кузнечно-прессового оборудования Оператор-кузнец на автоматических и полуавтоматических линиях
15.01.04;Наладчик сварочного и газоплазморезательного оборудования;Наладчик сварочного и газоплазморезательного оборудования Электросварщик на автоматических и полуавтоматических машинах
15.01.05;Сварщик (электросварочные и газосварочные работы);Газосварщик Электрогазосварщик Электросварщик на автоматических и полуавтоматических машинах Электросварщик ручной сварки Газорезчик
15.01.06;Сварщик на лазерных установках;Сварщик на лазерных установках
15.01.07;Сварщик на электронно-лучевых сварочных установках;Сварщик на электронно-лучевых сварочных установках
15.01.08;Наладчик литейного оборудования;Наладчик литейных машин Наладчик формовочных и стержневых машин
15.01.09;Машинист лесозаготовительных и трелевочных машин;Машинист-крановщик Машинист трелевочной машины Тракторист на подготовке лесосек, трелевке и вывозке леса
15.01.10;Слесарь по ремонту лесозаготовительного оборудования;Слесарь по ремонту лесозаготовительного оборудования
15.01.11;Электромонтажник блоков электронно-механических часов;Сборщик часов Электромонтажник блоков электронно-механических часов
15.01.12;Часовщик-ремонтник;Часовщик по ремонту механических часов Часовщик по ремонту электронных и кварцевых часов
15.01.13;Монтажник технологического оборудования (по видам оборудования);Монтажник технологического оборудования и связанных с ним конструкций Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения Монтажник оборудования атомных электрических станций Монтажник оборудования коксохимических производств Монтажник оборудования металлургических заводов Монтажник сельскохозяйственного оборудования Монтажник шахтного оборудования на поверхности
15.01.14;Наладчик оборудования в бумажном производстве;Наладчик оборудования в бумажном производстве
15.01.15;Наладчик деревообрабатывающего оборудования;Наладчик деревообрабатывающего оборудования
15.01.16;Наладчик технологического оборудования в производстве строительных материалов;Наладчик технологического оборудования в производстве строительных материалов
15.01.17;Электромеханик по торговому и холодильному оборудованию;Электромеханик по торговому и холодильному оборудованию
15.01.18;Машинист холодильных установок;Машинист холодильных установок
15.01.19;Наладчик контрольно-измерительных приборов и автоматики;Наладчик контрольно-измерительных приборов и автоматики Слесарь по контрольно-измерительным приборам и автоматике
15.01.20;Слесарь по контрольно-измерительным приборам и автоматике;Слесарь по контрольно-измерительным приборам и автоматике
15.01.21;Электромонтер охранно-пожарной сигнализации;Электромонтер охранно-пожарной сигнализации
15.01.22;Чертежник-конструктор;Чертежник-конструктор Чертежник
15.01.23;Наладчик станков и оборудования в механообработке;Наладчик автоматических линий и агрегатных станков Наладчик автоматов и полуавтоматов Наладчик станков и манипуляторов с программным управлением Станочник широкого профиля
15.01.24;Наладчик шлифовальных станков;Наладчик шлифовальных станков Шлифовщик
15.01.25;Станочник (металлообработка);Оператор станков с программным управлением Станочник широкого профиля
15.01.26;Токарь-универсал;Токарь Токарь-карусельщик Токарь-расточник Токарь-револьверщик
15.01.27;Фрезеровщик-универсал;Зуборезчик Фрезеровщик Шевинговальщик
15.01.28;Шлифовщик-универсал;Доводчик-притирщик Заточник Зубошлифовщик Шлифовщик
15.01.29;Контролер станочных и слесарных работ;Комплектовщик изделий и инструмента Контролер станочных и слесарных работ
15.01.30;Слесарь;Слесарь-инструментальщик Слесарь механосборочных работ Слесарь-ремонтник
18.00.00;ХИМИЧЕСКИЕ ТЕХНОЛОГИИ;
18.01.01;Лаборант по физико-механическим испытаниям;Лаборант по физико-механическим испытаниям
18.01.02;Лаборант-эколог;Дозиметрист Лаборант по анализу газов и пыли Лаборант-микробиолог Лаборант-полярографист Лаборант спектрального анализа Лаборант химического анализа Лаборант химико-бактериологического анализа Пробоотборщик
18.01.03;Аппаратчик-оператор экологических установок;Аппаратчик газоразделения Аппаратчик нейтрализации Аппаратчик обессоливания воды Аппаратчик осаждения Аппаратчик осушки газа Аппаратчик отстаивания Аппаратчик очистки газа Аппаратчик очистки жидкости Аппаратчик очистки сточных вод Аппаратчик перегонки Аппаратчик переработки отходов химического производства Аппаратчик фильтрации Аппаратчик химводоочистки Оператор по обслуживанию пылегазоулавливающих установок
18.01.04;Изготовитель изделий строительной керамики;Прессовщик изделий строительной керамики Формовщик изделий строительной керамики
18.01.05;Аппаратчик-оператор производства неорганических веществ;Профессии аппаратчиков, включенные в ЕТКС, выпуск 24
18.01.06;Оператор производства стекловолокна, стекловолокнистых материалов и изделий стеклопластиков;Оператор изготовления ровинга Оператор изготовления рулонно-конструкционных материалов Оператор получения кварцевых стекловолокон Оператор получения непрерывного стекловолокна Оператор получения оптического стекловолокна Оператор получения стекловолокна каолинового состава Оператор получения стеклохолста одностадийным методом Оператор получения штапельного стекловолокна Оператор производства кремнеземных материалов Оператор пульта управления электропечей Оператор установки изготовления гофрированных листовых стеклопластиков Оператор установок изготовления стеклопластиковых конструкций Размотчик стеклонити
18.01.07;Аппаратчик производства стекловолокнистых материалов и стеклопластиков;Профессии аппаратчиков, включенные в ЕТКС, выпуск 28
18.01.08;Мастер-изготовитель деталей и изделий из стекла;Выдувальщик стеклоизделий Кварцеплавильщик Оператор стеклоформующих машин Стеклодув
18.01.09;Мастер-обработчик стекла и стеклоизделий;Полировщик стекла и стеклоизделий Шлифовщик стеклоизделий Шлифовщик стекла
18.01.10;Отдельщик и резчик стекла;Отдельщик выдувных изделий Резчик стекла
18.01.11;Контролер стекольного производства;Контролер стекольного производства
18.01.12;Изготовитель фарфоровых и фаянсовых изделий;Обжигальщик фарфоровых и фаянсовых изделий Отливщик фарфоровых и фаянсовых изделий Формовщик фарфоровых и фаянсовых изделий
18.01.13;Отделочник и комплектовщик фарфоровых и фаянсовых изделий;Глазуровщик фарфоровых и фаянсовых изделий Комплектовщик фарфоровых и фаянсовых изделий Оправщик-чистильщик
18.01.14;Контролер-приемщик фарфоровых, фаянсовых и керамических изделий;Контролер-приемщик фарфоровых, фаянсовых и керамических изделий
18.01.15;Изготовитель эмалированной посуды;Эмалировщик Рисовальщик эмалями
18.01.16;Аппаратчик в производстве химических волокон;Профессии аппаратчиков, включенные в ЕТКС, выпуск 28
18.01.17;Оператор в производстве химических волокон;Оператор кручения и вытяжки Оператор кручения и намотки химических волокон Отделочник химических волокон Перемотчик нити Ставильщик
18.01.18;Аппаратчик производства синтетических смол и пластических масс;Профессии аппаратчиков и операторов, включенные в ЕТКС, выпуск 27
18.01.19;Машинист-оператор в производстве изделий из пластмасс;Литейщик пластмасс Машинист выдувных машин Машинист гранулирования пластических масс Машинист микструдера Машинист установки самоклеящихся пленок Машинист экструдера
18.01.20;Прессовщик изделий из пластмасс;Прессовщик листовых материалов Прессовщик пленочных материалов пресс-рулонным методом Прессовщик труб и профилей Оператор роторной линии по производству изделий из пластических масс
18.01.21;Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей, резиновых технических изделий и шин;Аппаратчик приготовления латексной смеси Аппаратчик приготовления резиновых клеев и покрытий Вальцовщик резиновых смесей Каландровщик резиновых смесей Машинист каландра Машинист пропиточного агрегата Машинист резиносмесителя Машинист стрейнера Составитель навесок ингредиентов
18.01.22;Оператор в производстве шин;Аппаратчик вулканизации Каландровщик на обрезинке металлокордного полотна Машинист автокамерного агрегата Машинист протекторного агрегата Сборщик браслетов и брекеров Сборщик безбандажных шин Сборщик покрышек Стыковщик резиновых изделий Стыковщик текстиля на прессе Закройщик резиновых изделий и деталей
18.01.23;Оператор процессов вулканизации;Вулканизаторщик Прессовщик-вулканизаторщик
18.01.24;Мастер шиномонтажной мастерской;Аппаратчик вулканизации Балансировщик шин Вставщик камер Вулканизаторщик Монтировщик шин Нормализаторщик Обработчик материалов латексом Обработчик резиновых изделий Окрасчик резиновых изделий Ремонтировщик резиновых изделий Шероховщик
18.01.25;Оператор в производстве резиновых технических изделий и обуви;Вулканизаторщик Вырубщик заготовок изделий Заготовщик резиновых изделий и деталей Закройщик резиновых изделий и деталей Клейщик резиновых, полимерных деталей и изделий Машинист агрегата по изготовлению навивочных рукавов Машинист клеевого агрегата Машинист оплеточной машины Машинист расплеточной машины Прессовщик-вулканизаторщик Сборщик резиновых технических изделий Штамповщик резиновой обуви
18.01.26;Аппаратчик-оператор нефтехимического производства;Профессии аппаратчиков и операторов, включенные в ЕТКС, выпуск 30
18.01.27;Машинист технологических насосов и компрессоров;Машинист компрессорных установок Машинист насосных установок Машинист технологических насосов Машинист технологических компрессоров Аппаратчик осушки газа
18.01.28;Оператор нефтепереработки;Оператор технологических установок Приборист Слесарь по ремонту технологических установок
18.01.29;Мастер по обслуживанию магистральных трубопроводов;Монтер по защите подземных трубопроводов от коррозии Трубопроводчик линейный
18.01.30;Аппаратчик-оператор коксохимического производства;Профессии аппаратчиков и операторов, включенные в ЕТКС, выпуск 7 Газовщик коксовых печей
18.01.31;Машинист машин коксохимического производства;Люковой Машинист коксовых машин Машинист электровоза тушильного вагона Машинист коксопогрузочной машины Машинист установки сухого тушения кокса
18.01.32;Аппаратчик-оператор азотных производств и продуктов органического синтеза;Профессии аппаратчиков и операторов, включенные в ЕТКС, выпуск 25
19.00.00;ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ;
19.01.01;Аппаратчик-оператор в биотехнологии;Профессии аппаратчиков и операторов, включенные в ЕТКС, выпуск 29
19.01.02;Лаборант-аналитик;Лаборант-микробиолог Лаборант-полярографист Лаборант пробирного анализа Лаборант спектрального анализа Лаборант химического анализа Лаборант химико-бактериального анализа Пробоотборщик
19.01.03;Аппаратчик элеваторного, мукомольного, крупяного и комбикормового производства;Аппаратчик комбикормового производства Аппаратчик крупяного производства Аппаратчик мукомольного производства Аппаратчик обработки зерна
19.01.04;Пекарь;Пекарь Пекарь-мастер Дрожжевод Тестовод Машинист тесторазделочных машин Формовщик теста Кондитер
19.01.05;Оператор поточно-автоматической линии (макаронное производство);Оператор поточно-автоматической линии Прессовщик полуфабриката макаронных изделий
19.01.06;Аппаратчик производства сахара;Аппаратчик варки утфеля Аппаратчик дефекосатурации диффузионного сока Аппаратчик диффузии
19.01.07;Кондитер сахаристых изделий;Дражировщик Изготовитель карамели Изготовитель конфет Изготовитель мармеладо-пастильных изделий Изготовитель шоколада Машинист расфасовочно-упаковочных машин Халвомес
19.01.08;Пивовар;Аппаратчик выращивания дрожжей Аппаратчик процесса брожения Варщик Оператор линии фильтрации в пивоваренном производстве Оператор линии в производстве пищевой продукции Солодовщик
